Type    ,PID       ,Description                        ,50FA      ,300M      
Scalar  ,KVEFF_1   ,fuel ve cid multiplier             ,30723.00  ,35641.00  
Scalar  ,NLM_CL    ,rev limit                          ,5000.00   ,5500.00   
Scalar  ,SPLCLP    ,spark min allowed                  ,5.00      ,0.00      
Scalar  ,DRBASE    ,Idle drive                         ,600       ,624       
Scalar  ,NUBASE    ,Idle neutral                       ,600       ,664       
Scalar  ,ALOSL     ,Fuel - Injector Low Slope          ,19.6555   ,24.1925   
Function,FN331A    ,fuel accel enrichment vs tprel     ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,1.96875   ,1.96875   ,1.96875   ,2         ,2.046875  ,2.078125  ,2.203125  ,2.359375  ,2.578125  ,2.78125   ,2.875     ,2.84375   
        ,         ,                                  ,1.96875   ,1.96875   ,2.046875  ,2.203125  ,2.40625   ,2.4375    ,2.578125  ,2.828125  ,3.109375  ,3.1875    ,3.15625   ,3         
        ,         ,                                  ,2         ,2         ,2.109375  ,2.359375  ,2.640625  ,2.59375   ,2.71875   ,2.984375  ,3.28125   ,3.40625   ,3.375     ,3.15625   
        ,         ,                                  ,2.078125  ,2.109375  ,2.234375  ,2.515625  ,2.765625  ,2.84375   ,2.953125  ,3.15625   ,3.390625  ,3.546875  ,3.5       ,3.265625  
        ,         ,                                  ,2.359375  ,2.359375  ,2.4375    ,2.59375   ,2.84375   ,2.921875  ,3.046875  ,3.3125    ,3.46875   ,3.65625   ,3.671875  ,3.453125  
        ,         ,                                  ,3         ,3         ,2.875     ,2.6875    ,2.875     ,3.046875  ,3.234375  ,3.40625   ,3.59375   ,3.734375  ,3.796875  ,3.6875    
        ,         ,                                  ,3.40625   ,3.40625   ,3.203125  ,3.046875  ,2.953125  ,3.078125  ,3.359375  ,3.515625  ,3.765625  ,3.875     ,3.875     ,3.796875  
        ,         ,                                  ,3.59375   ,3.59375   ,3.40625   ,3.40625   ,3.046875  ,3.15625   ,3.4375    ,3.59375   ,3.84375   ,3.90625   ,3.9375    ,3.875     
        ,         ,                                  ,
        ,         ,                                  ,300M
        ,         ,                                  ,1.59      ,1.72      ,1.80      ,***       ,2.13      ,2.28      ,2.44      ,2.56      ,2.69      ,2.80      ,***       ,2.80      
        ,         ,                                  ,1.69      ,1.80      ,2.00      ,***       ,2.28      ,***       ,2.56      ,2.72      ,2.80      ,2.92      ,3.00      ,2.95      
        ,         ,                                  ,1.72      ,1.84      ,2.00      ,2.52      ,2.59      ,2.56      ,2.64      ,2.80      ,2.88      ,3.00      ,3.13      ,3.08      
        ,         ,                                  ,1.72      ,1.88      ,2.20      ,2.64      ,2.88      ,2.88      ,2.92      ,3.00      ,3.20      ,3.23      ,3.23      ,3.20      
        ,         ,                                  ,1.95      ,2.13      ,2.23      ,2.64      ,***       ,***       ,***       ,3.36      ,3.56      ,3.56      ,3.48      ,3.41      
