ET,AEFUEL,FINJ_MULT,KAMRF1,LAMBSE1,PWOFF,ISCDTY,ISCTMR,EGRFLO,SAF,SAFTOT,IEGO1,BP,MPG_MODE,RPM,VSS,AD_CHANNEL_VCAL,AD_CHANNEL_TAR,AD_CHANNEL_BAT,AD_CHANNEL_OCC,AD_CHANNEL_TP,AD_CHANNEL_ACT,AD_CHANNEL_ECT,AD_CHANNEL_NDS,AD_CHANNEL_IEGO,28C,28D,28E,ACT,ECT,ATMR1,ATMR2,ATMR3,APT,RATCH,TAR,TP_REL,VBAT,LOAD_FUEL,LOAD_VE,MAP,VE,OLFLG,WOTFLG,0x93,0xA3,0x26,0xBD,0xDC,0x2C4,0x1DE,0xB7,0x40,0x1A,0x3C,0x21C,0x9C,0x15C,LTFT1,LTFT2,STFT1,STFT2,HP,TQ,IMPG,MPG,DIST,INJDC1,INJDC2,GEAR,AFR_Error,Marker
67.895,0,1.28125,1,0.907121394,266,27.93579164,0,0,1.25,1.25,1018,29.875,4,737,0,512,339,439,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.9375,0.53125,0.53125,16,0,12,0,132,11,54,43,26,0,0,56,64,168,194,14464,3297,26,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.935,0,1.3125,1,0.907121394,273,27.93579164,0,0,1.25,1.25,1019,29.875,4,710,0,512,343,432,1,226,339,525,0,1019,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,12,0.53125,0.5390625,16.125,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3139,33,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.975,0,1.3125,1,0.907121394,273,27.93579164,0,0,1.75,1.75,1018,29.875,4,724,0,512,343,435,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.875,0.53125,0.53125,16,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3235,29,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.054,0,1.3125,1,0.907121394,273,27.93579164,0,0,1.75,1.75,1018,29.875,4,724,0,512,343,435,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.875,0.53125,0.53125,16,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3235,29,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.096,0,1.28125,1,0.907121394,266,27.93579164,0,0,1.5,1.5,1018,29.875,4,719,0,512,349,439,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,12,0.53125,0.53125,16,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3193,31,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.135,0,1.3125,1,0.907121394,273,27.93579164,0,0,1.75,1.75,1019,29.875,4,694,0,512,315,435,1,226,339,525,0,1019,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.9375,0.53125,0.5390625,16.125,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3053,39,0,0,93.80381576,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.175,0,1.3125,1,0.905919471,273,27.93579164,0,0,2.25,2,1018,29.875,4,682,0,512,343,438,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.75,0.5390625,0.546875,16.25,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3031,49,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.214,0,1.3125,1,0.905919471,273,27.93579164,0,0,1.75,1.75,1018,29.875,4,717,0,512,339,439,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.875,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3031,49,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.256,0,1.3125,1,0.905919471,273,27.93579164,0,0,1.75,1.75,1018,29.875,4,717,0,512,339,439,1,226,339,525,0,1018,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.875,0.5390625,0.5390625,16.25,0,12,0,132,10,54,43,26,0,0,56,64,168,194,14464,3234,32,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
68.298,0,1.3125,1,0.905919471,273,27.78930726,0,0,2.25,1.5,1019,29.875,4,695,0,512,343,438,1,226,339,525,0,1019,0,0,0,88,124,120,0,120,255,1.10459433,0,1.10459433,11.9375,0.5390625,0.546875,16.375,0,12,0,132,10,54,43,26,0,0,56,64,168,146,14464,3113,38,0,0,93.81202562,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
